Date,Amount,Category,Notes
2025-07-31,12500,🍔 Makan & Minum,Lalapan 4T
2025-07-31,33050,🍔 Makan & Minum,Shopee Food
2025-08-01,20000,🍔 Makan & Minum,Nasi Bakar
2025-08-01,44000,🍔 Makan & Minum,Bus ke Kota & Parkir Terminal 
2025-08-02,25000,🎁 Kado & Donasi,Bus ke Kantor 
2025-08-02,22000,🍔 Makan & Minum,Bubur Ayam  & Cakue
2025-08-02,23000,🍔 Makan & Minum,Nasi Ayam
2025-08-03,33500,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-08-05,22000,🚗 Transportasi,Bensin
2025-08-05,300000,🛒 Bahan Dapur,Belanja Masakan Rumah & Konsumsi Tukang di Musala (Pulang)
2025-08-05,18000,🍔 Makan & Minum,Oreo & Cimory
2025-08-07,32000,🚗 Transportasi,Bus ke Kantor & Gojek 
2025-08-07,15500,🍔 Makan & Minum,Ayam Nelongso 
2025-08-08,10000,🍔 Makan & Minum,Pentol Kantor
2025-08-08,5500,🎁 Kado & Donasi,Patungan Kue Ultah
2025-08-08,18000,🍔 Makan & Minum,Nasi Rawon 
2025-08-08,24000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-08-09,32000,🚗 Transportasi,Bus ke Kantor 
2025-08-09,17500,🍔 Makan & Minum,Nasi Campur 
2025-08-09,33000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-08-10,11500,🎲 Lain-lain,Materai 10k
2025-08-11,10000,🎲 Lain-lain,Imunisasi 
2025-08-11,12000,🚗 Transportasi,Bensin 
2025-08-12,140000,💊 Kesehatan,Periksa Dokter Paru 
2025-08-12,13000,🍔 Makan & Minum,Slai O'lay
2025-08-12,300000,🛒 Bahan Dapur,Belanja Masakan Rumah & Konsumsi Tukang di Musala Kampung
2025-08-13,562000,🎲 Lain-lain,Baby Seat Ultimo
2025-08-13,92000,🍔 Makan & Minum,NK Cafe
2025-08-14,150000,🧾 Tagihan & BIaya-biaya,Internet 100GB
2025-08-14,25000,🚗 Transportasi,Bus ke Kantor 
2025-08-14,20000,🍔 Makan & Minum,Nasi Bakar
2025-08-14,13000,🍔 Makan & Minum,Mie Gacoan
2025-08-14,16000,🍔 Makan & Minum,Air Minum
2025-08-15,20000,🍔 Makan & Minum,Nasi Bakar
2025-08-15,32500,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-08-16,28000,🚗 Transportasi,Bensin
2025-08-16,25000,🚗 Transportasi,Bus ke Kantor 
2025-08-16,10000,🍔 Makan & Minum,Pentol Kantor
2025-08-16,5000,🍔 Makan & Minum,Es Jeruk
2025-08-16,43000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-08-17,400000,🛒 Bahan Dapur,Belanja Masak Rumah & Sedekah Konsumsi Tukang Bangun Musala
2025-08-18,25000,🚗 Transportasi,Bus ke Kantor 
2025-08-18,35000,🍔 Makan & Minum,KFC Winger (katanya Promo ternyata Enggak)
2025-08-18,13000,🍔 Makan & Minum,Onigiri Bungur
2025-08-18,38000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-08-19,40000,🍔 Makan & Minum,Bakso x2
2025-08-19,38839,🍿 Hiburan,Youtube Premium 
2025-08-19,24000,🍔 Makan & Minum,Hisana Fried Chicken 
2025-08-20,30000,🚗 Transportasi,Bensin
2025-08-21,24000,🚗 Transportasi,Bus ke Kantor 
2025-08-21,12400,🛍️ Belanja,Earphone
2025-08-21,12500,🍔 Makan & Minum,Nasi 4T
2025-08-21,16000,🍔 Makan & Minum,Bakso
2025-08-22,20000,🍔 Makan & Minum,Nasi Bakar 
2025-08-22,20000,🍔 Makan & Minum,Nasi Bakar
2025-08-22,12500,🍔 Makan & Minum,Kopi
2025-08-22,10000,🎁 Kado & Donasi,Patungan Jenguk Anak Mas Adhi
2025-08-22,31000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-08-23,140000,🎲 Lain-lain,Konsultasi Imunisasi Dokter Anak
2025-08-23,18696,‎‍🎓 Pendidikan,MySkill.id 12 Months Subscription 
2025-08-23,52000,🎲 Lain-lain,Kantong ASI x2
2025-08-23,26000,🍔 Makan & Minum,Angsle x2 & Ronde
2025-08-24,490000,🎲 Lain-lain,Dokter & Imunisasi RV #1
2025-08-24,29000,🚗 Transportasi,Bus ke Kantor 
2025-08-24,10000,🍔 Makan & Minum,Pentol Kantor
2025-07-24,7500,🚗 Transportasi,PP Kampus
2025-07-24,30500,🚗 Transportasi,Gocar Ibu
2025-07-24,67500,🍔 Makan & Minum,Traktir mbak 
2025-07-25,39500,🚗 Transportasi,PP Kampus Kampus Rumah
2025-07-26,7000,🚗 Transportasi,PP Kampus
2025-07-27,20000,🚗 Transportasi,PP Kampus
2025-07-28,41500,🚗 Transportasi,"PP Kampus, Kampus, Kayu Putih, Kampus"
2025-07-31,15000,🚗 Transportasi,PP Kampus
2025-08-01,16500,🚗 Transportasi,PP Kampus
2025-08-01,146600,🛒 Bahan Dapur,Belanja rumah Rumah
2025-08-02,47000,🚗 Transportasi,"PP Kampus, Rumah, Kampus, Kampus"
2025-08-02,53600,🛒 Bahan Dapur,Belanja rumah Rumah
2025-08-03,23500,🚗 Transportasi,PP Kampus
2025-08-04,29859,🧾 Tagihan & BIaya-biaya,Google drive
2025-08-07,12000,🚗 Transportasi,PP Kampus
2025-08-08,24000,🚗 Transportasi,PP Kampus
2025-08-08,65400,🧾 Tagihan & BIaya-biaya,Google play
2025-08-09,24500,🚗 Transportasi,PP Kampus
2025-08-09,27000,🍔 Makan & Minum,Nakoa
2025-08-10,24000,🚗 Transportasi,PP Kampus
2025-08-11,6500,🧾 Tagihan & BIaya-biaya,Pulsa
2025-08-14,8500,🚗 Transportasi,PP Kampus
2025-08-15,21000,🚗 Transportasi,PP Kampus
2025-08-16,13500,🚗 Transportasi,PP Kampus
2025-08-18,43500,🚗 Transportasi,Gocar ayah ibu
2025-08-21,24000,🚗 Transportasi,PP Kampus
2025-08-21,33000,🧾 Tagihan & BIaya-biaya,Paket internet
2025-08-22,23500,🚗 Transportasi,PP Kampus
2025-08-22,22000,🍔 Makan & Minum,Nakoa
2025-08-23,16000,🚗 Transportasi,PP Labore Rumah
2025-08-24,23500,🚗 Transportasi,PP Kampus
2025-08-24,29000,🍔 Makan & Minum,Nakoa
2025-08-16,125000,🛍️ Belanja,Baju
2025-08-12,530000,💊 Kesehatan,Periksa paru RS Kampus
2025-08-02,174100,🎲 Lain-lain,Mustella
2025-07-29,272000,💊 Kesehatan,Periksa paru RS Kampus 
2025-07-27,65000,🧾 Tagihan & BIaya-biaya,Netflix 
2025-08-16,800000,‎‍🎓 Pendidikan,Int. Conference 
2025-08-24,150000,🍔 Makan & Minum,Total makan siang dan jajan di kampus 
2025-08-24,1244170,🎲 Lain-lain,Piutang belum terbayar
2025-08-24,33000,🍔 Makan & Minum,Makan Malam
2025-08-25,41000,🍔 Makan & Minum,Makan 2x
2025-08-25,10000,🍔 Makan & Minum,Pentol Kantor
2025-08-25,31000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-08-26,300000,🛒 Bahan Dapur,Weekly Groceries & Konsumsi Tukang di Musala 
2025-08-27,375000,🎲 Lain-lain,Pampers x2 Prenagen x2 Tisu Basah x2
2025-08-27,33000,🧾 Tagihan & BIaya-biaya,Telkomsel Extension 
2025-08-27,11000,🍔 Makan & Minum,Pentol 
2025-08-27,32500,🚗 Transportasi,Gojek Ibu ke Rumah 
2025-08-29,39000,🚗 Transportasi,Bensin Full Tank
2025-08-30,26100,🛒 Bahan Dapur,Nutrijel x3 Sabun Batang x2
2025-09-01,100000,🛒 Bahan Dapur,Weekly Groceries Rumah
2025-08-25,35500,🚗 Transportasi,PP Kampus Rumah Nakoa
2025-08-25,37000,🚗 Transportasi,Gojek Ibu ke (Pulang)
2025-08-25,75000,🍔 Makan & Minum,Nakoa dan maksi
2025-09-01,58000,🎲 Lain-lain,Konsumsi peserta asesi
2025-09-02,18000,🍔 Makan & Minum,Greenfields x2
2025-09-03,74500,🍔 Makan & Minum,McD + Parkir x2 (Merjosari) 
2025-09-03,151500,🧾 Tagihan & BIaya-biaya,Pulsa Roaming ASEAN Ayah
2025-09-03,35000,🚗 Transportasi,Gojek Ibu ke Rumah 
2025-09-04,45000,🚗 Transportasi,Bus ke Kantor 
2025-09-04,20000,🍔 Makan & Minum,Makan Malam 
2025-09-05,13000,🍔 Makan & Minum,Sarapan 
2025-09-05,10000,🥫Jajan,Pentol
2025-09-05,10000,🥫Jajan,Tahu 
2025-09-05,24000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-09-05,20000,🎲 Lain-lain,Detergen Kakak
2025-09-06,25000,🚗 Transportasi,Bus ke Kantor
2025-09-06,20000,🍔 Makan & Minum,Makan Malam 
2025-09-07,13000,🍔 Makan & Minum,Sarapan 
2025-09-07,20000,🍔 Makan & Minum,Nasi Bakar
2025-09-07,26500,🧾 Tagihan & BIaya-biaya,Pulsa Indosat
2025-09-07,31000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-09-08,42000,🛒 Bahan Dapur,Beras 3kg
2025-09-08,45000,🚗 Transportasi,Bus ke Kantor 
2025-09-08,23000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-09-08,69500,🎲 Lain-lain,Pampers & Sabun Mandi
2025-09-09,100000,🛒 Bahan Dapur,Weeklies Groceries 
2025-09-09,57000,🍔 Makan & Minum,Bakso Araya x2 Es Oyen x3
2025-09-10,52000,🥫Jajan,Carik Cenik
2025-09-10,55000,🍔 Makan & Minum,Mie Kober Sulfat
2025-09-10,24000,🚗 Transportasi,Bensin 2L
2025-09-11,20000,🛒 Bahan Dapur,Gas LPG
2025-09-11,25000,🚗 Transportasi,Bus ke Kantor 
2025-09-11,20000,🍔 Makan & Minum,Makan Malam 
2025-09-12,13000,🍔 Makan & Minum,Sarapan 
2025-09-12,10000,🥫Jajan,Pentol Kantor
2025-09-12,20787,🍔 Makan & Minum,Makan Siang 
2025-09-12,33000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-09-12,26000,🎲 Lain-lain,Breastmilk Bag
2025-09-13,150000,🧾 Tagihan & BIaya-biaya,Kuota Internet 
2025-09-13,25000,🚗 Transportasi,Bus ke Kantor 
2025-09-13,20000,🍔 Makan & Minum,Nasi Bakar
2025-09-13,32000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-09-14,37500,🚗 Transportasi,Gojek Ibu ke (Pulang)
2025-09-14,23000,🚗 Transportasi,Gocar ke Rumah Mbak Ruri
2025-09-14,24000,🚗 Transportasi,Bensin
2025-09-14,14500,🥫Jajan,Aice & Aqua
2025-09-14,26000,🚗 Transportasi,Gojek dari Rumah Mbak Ruri
2025-09-16,100000,🛒 Bahan Dapur,Weekly Groceries 
2025-09-16,39000,🍔 Makan & Minum,Lauk Rawon Ramelan
2025-09-16,12000,🚗 Transportasi,Bensin 
2025-09-17,176700,🎲 Lain-lain,"Sendok, Piring, Pampers, Container "
2025-09-17,96000,🍔 Makan & Minum,Makan di Baigopa
2025-09-17,24000,🚗 Transportasi,Bensin 
2025-09-18,6500,🚗 Transportasi,Gojek Ibu ke Kampus 
2025-09-19,25000,🚗 Transportasi,Bus ke Kantor 
2025-09-19,10000,🥫Jajan,Pentol Kantor
2025-09-19,30000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-09-19,16000,🍔 Makan & Minum,Angsle & Ronde
2025-09-20,32000,🚗 Transportasi,Bensin Full Tank 
2025-09-20,43000,🚗 Transportasi,Bus & Gojek ke Kantor Ujian
2025-09-20,43000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-09-20,15200,‎‍🎓 Pendidikan,Buku Perpajakan 
2025-09-21,25000,🚗 Transportasi,Bus ke Kantor 
2025-09-21,10000,🥫Jajan,Pentol Kantor 
2025-09-21,20000,🍔 Makan & Minum,Nasi Bakar
2025-09-21,29000,🍔 Makan & Minum,Makan Malam 
2025-09-22,15000,🍿 Hiburan,Youtube Premium 
2025-09-22,10000,🥫Jajan,Pentol Kantor
2025-09-22,14000,🎁 Kado & Donasi,Kado Vit Fit
2025-09-22,20000,🍔 Makan & Minum,Nasi Bakar 
2025-09-22,31000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-09-23,100000,🛒 Bahan Dapur,Weekly Groceries Rumah
2025-09-23,10000,🎲 Lain-lain,Baby Spa
2025-09-23,30000,💊 Kesehatan,Barber
2025-09-23,24000,🎲 Lain-lain,Buah Naga
2025-09-23,5000,🥫Jajan,Sotong
2025-09-25,25000,🚗 Transportasi,Bus ke Kantor 
2025-09-25,21000,🍔 Makan & Minum,Makan Malam 
2025-09-25,30500,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-09-26,50000,🚗 Transportasi,Bus ke Kota 
2025-09-26,25000,🚗 Transportasi,Bus ke Kantor
2025-09-27,25000,🚗 Transportasi,Bus ke Kantor 
2025-09-27,10000,🥫Jajan,Pentol 
2025-09-27,9000,🥫Jajan,Es Krim
2025-09-27,50000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-09-27,24000,🚗 Transportasi,Bensin 
2025-09-28,50000,🍔 Makan & Minum,Bakso Matahari 
2025-09-28,178600,🎲 Lain-lain,Pampers x2 Detergen 
2025-09-29,33000,🚗 Transportasi,Bensin Full Tank
2025-09-29,142000,🎲 Lain-lain,Dokter Anak untuk Imunisasi
2025-09-04,6500,🧾 Tagihan & BIaya-biaya,Pulsa
2025-09-04,27000,🚗 Transportasi,PP Kampus
2025-09-05,47500,🚗 Transportasi,PP Kampus-Kampus-Rumah
2025-09-06,65500,🚗 Transportasi,PP Kampus+Begawan+Hotel Atria
2025-09-07,34500,🚗 Transportasi,PP Kampus-Rumah-Kampus-Bureau
2025-09-08,23000,🚗 Transportasi,PP Kampus-Kampus-Rumah
2025-09-09,30000,🧾 Tagihan & BIaya-biaya,Google One
2025-09-10,67000,🚗 Transportasi,Gocar Kampung-Rumah Rumah
2025-09-11,40000,🧾 Tagihan & BIaya-biaya,Paket internet
2025-09-11,9000,🚗 Transportasi,Kampus-rumah
2025-09-12,18000,🚗 Transportasi,PP Kampus-Rumah
2025-09-13,9000,🚗 Transportasi,PP Kampus
2025-09-15,9000,🚗 Transportasi,Kampus-rumah
2025-09-18,20500,🚗 Transportasi,PP Kampus-Rumah & Kampus (Ibu)
2025-09-19,7000,🚗 Transportasi,Kampus-rumah
2025-09-20,13000,🚗 Transportasi,PP Rumah & Kampus (Ibu)
2025-09-22,74500,🚗 Transportasi,PP Kampus+Buchi+Kampung Ibu
2025-09-24,106000,🍔 Makan & Minum,Gofood Ichiban Sushi
2025-09-25,19500,🚗 Transportasi,PP Kampus-rumah
2025-09-25,28000,🍔 Makan & Minum,Nakoa 
2025-09-26,26000,🚗 Transportasi,PP Kampus-rumah-Nakoa
2025-09-26,18000,🍔 Makan & Minum,Nakoa
2025-09-27,18000,🚗 Transportasi,PP Kampus
2025-09-05,106000,🛒 Bahan Dapur,Belanja Rumah
2025-09-21,20000,🍔 Makan & Minum,Nakoa
2025-09-22,41500,🍔 Makan & Minum,Maksi McD
2025-09-05,100000,🎲 Lain-lain,Urunan Foto Kelas
2025-09-23,241200,🎲 Lain-lain,Belanja MPASI
2025-09-26,28000,🍔 Makan & Minum,Nakoa
2025-09-29,377800,🎲 Lain-lain,Imunisasi Rotavirus 2
2025-09-27,65000,🍿 Hiburan,Netflix
2025-09-04,250000,🎲 Lain-lain,Pendaftaran call for paper
2025-09-29,100000,🎁 Kado & Donasi,Jumat Berkah
2025-09-29,17000,🥫Jajan,Mixue 
2025-09-29,30500,🚗 Transportasi,Gojek Ibu ke Kampung
2025-09-29,500000,😊 Keluarga,Syukuran 7 Bulan 
2025-09-29,393500,🛍️ Belanja,Belanja Skin Care
2025-09-30,69500,🚗 Transportasi,Gocar ke Kampung
2025-10-01,63000,🍔 Makan & Minum,Makan di Warung Genji UIN
2025-10-01,34000,🎲 Lain-lain,Lacto B x4
2025-10-01,34000,🎲 Lain-lain,Sleek Cuci Botol
2025-10-02,25500,🚗 Transportasi,Gojek Ibu ke Rumah 
2025-10-02,20000,🚗 Transportasi,Bus ke Kantor 
2025-10-02,20000,🍔 Makan & Minum,Makan Siang 
2025-10-02,22000,🍔 Makan & Minum,Makan Malam 
2025-09-06,1000000,🎁 Kado & Donasi,HP Ibu
2025-09-30,1459300,🎁 Kado & Donasi,Hanif & Malik + Total Donasi
2025-10-02,11000,🚗 Transportasi,Kampus
2025-10-02,108000,🍔 Makan & Minum,Urunan maksi Jurusan
2025-10-03,11000,🚗 Transportasi,Kampus
2025-09-29,85000,🍔 Makan & Minum,Makan di Kismo
2025-10-03,26000,🍔 Makan & Minum,Makan di Nakoa
2025-10-01,20000,🎲 Lain-lain,Alpukat & Buah Naga
2025-10-03,20000,🍔 Makan & Minum,Nasi Bakar
2025-10-03,10000,🥫Jajan,Pentol Kantor
2025-10-03,4000,🥫Jajan,Nipis Madu
2025-10-03,24000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-10-04,25000,🛒 Bahan Dapur,Gas & Nutrijell
2025-10-04,7700,🎁 Kado & Donasi,Patungan Kue Ultah
2025-10-04,40000,🥫Jajan,Bakso & Mie Ayam x2
2025-10-04,32000,🍔 Makan & Minum,Maksi + gorengan
2025-10-04,80000,😊 Keluarga,Booking self studio
2025-10-05,25000,🚗 Transportasi,Bus ke Kantor 
2025-10-05,7000,🥫Jajan,Pentol Kantor
2025-10-05,29900,🍔 Makan & Minum,Makan Malam 
2025-10-05,11500,🚗 Transportasi,Gojek Rumah
2025-10-05,33000,🍔 Makan & Minum,Makan siang + jajan
2025-10-06,12000,🍔 Makan & Minum,Sarapan Bubur
2025-10-06,20000,🎁 Kado & Donasi,Patungan Jenguk Yuli
2025-10-06,69000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-10-06,9800,💊 Kesehatan,Sabun Nuvo x3
2025-10-07,60000,😊 Keluarga,Self Studio
2025-10-08,8000,🥫Jajan,Gethuk & Parkir 
2025-10-07,30000,🚗 Transportasi,Bensin Full Tank
2025-10-07,200000,🛒 Bahan Dapur,Weekly Groceries 
2025-10-09,9900,💊 Kesehatan,Masker
2025-10-09,33500,🚗 Transportasi,Gojek Ibu ke  Rumah 
2025-10-09,40000,🚗 Transportasi,Bus ke Kantor 
2025-10-09,24000,🍔 Makan & Minum,Makan Siang (Nasi Bakar & Es Teh)
2025-10-09,23000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-10-10,60000,🍿 Hiburan,Outing Kantor
2025-10-10,73300,🛒 Bahan Dapur,"Minyak Goreng, Shampoo, Nutrijel, Aice x2"
2025-10-10,39500,🎲 Lain-lain,Steker 4 Colokan
2025-10-11,53000,🎁 Kado & Donasi,Patungan Kado Mas Setra & Mas Sandy 
2025-10-11,25000,🚗 Transportasi,Bus ke Kantor 
2025-10-11,10000,🥫Jajan,Pentol 
2025-10-11,30000,🧾 Tagihan & BIaya-biaya,"OpenAI GPT-4 (2,6 CA USD)"
2025-10-11,3000,🚗 Transportasi,Parkir
2025-10-12,20000,🍔 Makan & Minum,Nasi Bakar
2025-10-13,100000,🧾 Tagihan & BIaya-biaya,Kuota Indosat 
2025-10-12,24000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-10-13,16000,🥫Jajan,Tea Break & Sundae 
2025-10-14,100000,🛒 Bahan Dapur,Weekly Groceries 
2025-10-14,28000,🍔 Makan & Minum,Lauk Padang 
2025-10-15,55000,🎲 Lain-lain,Ayam Kampung 
2025-10-15,50000,🎲 Lain-lain,"Udang, Sayur, Tahu Tempe, Roti Goreng, Parkir x2"
2025-10-15,100000,😊 Keluarga,Kurma Mbak Rahma
2025-10-15,387000,🎲 Lain-lain,Pampers x3 Pack 
2025-10-15,29000,🚗 Transportasi,Bensin
2025-10-15,14700,🛒 Bahan Dapur,Tepung Terigu
2025-10-15,20000,🍔 Makan & Minum,Bakso
2025-10-16,25000,🚗 Transportasi,Bus ke Kantor 
2025-10-16,7000,🥫Jajan,Pentol 
2025-10-16,20500,🍔 Makan & Minum,Ayam Nelongso
2025-10-17,20000,🍔 Makan & Minum,Nasi Bakar
2025-10-17,33000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-10-18,25000,🚗 Transportasi,Gojek Ibu ke Rumah 
2025-10-18,30000,🥫Jajan,Cafe Nugas 
2025-10-18,69000,🛒 Bahan Dapur,Beras 5kg
